heure;latitude;longitude;magnitude;ville;type
2018-02-16T10:28:02.240000+00:00;45.452;5.935;2.0;Chambéry;None
2018-02-16T10:03:10.357000+00:00;85.217;95.875;4.6;Noril’sk;None
2018-02-16T09:22:33.961000+00:00;44.937;7.094;1.4;Pinerolo;None
2018-02-16T08:40:18.091000+00:00;-3.974;129.364;5.4;Ambon;None
2018-02-16T08:28:04.080000+00:00;47.18;7.183;1.3;Biel;quarry blast
2018-02-16T08:06:11.024000+00:00;44.873;7.018;1.0;Pinerolo;earthquake
2018-02-16T08:01:29.322000+00:00;-5.905;-80.729;4.6;Piura;None
2018-02-16T07:53:54.480000+00:00;44.876;7.029;1.3;Pinerolo;earthquake
2018-02-16T07:50:11.166000+00:00;44.871;7.039;2.3;Pinerolo;earthquake
2018-02-16T05:19:27.064000+00:00;43.041;-0.122;0.6;Tarbes;earthquake
2018-02-16T03:52:56.395000+00:00;43.555;6.643;1.4;Fréjus;earthquake
2018-02-16T02:28:54.734000+00:00;14.288;146.566;5.2;Saipan;None
2018-02-16T01:54:40.053000+00:00;15.625;-94.826;4.8;Salina Cruz;None
2018-02-16T01:36:12.732000+00:00;44.554;9.481;2.4;Borgo Val di Taro;earthquake
2018-02-16T01:00:25.269000+00:00;43.567;6.636;1.3;Fréjus;earthquake
2018-02-16T00:15:04.982000+00:00;43.567;6.64;1.8;Fréjus;earthquake
2018-02-16T00:00:09.025000+00:00;51.278;-176.741;5.1;Petropavlovsk-Kamchatskiy;None
2018-02-15T18:06:30.672000+00:00;46.168;7.526;1.7;Sion;earthquake
2018-02-15T13:31:48.809000+00:00;44.87;7.012;1.9;Pinerolo;earthquake
2018-02-15T13:30:57.087000+00:00;44.858;7.016;1.4;Pinerolo;earthquake
2018-02-15T12:25:47.719000+00:00;44.612;6.648;1.2;Gap;earthquake
2018-02-15T11:54:54.776000+00:00;44.378;6.821;1.3;Borgo San Dalmazzo;earthquake
2018-02-15T11:39:54.040000+00:00;-4.769;150.957;5.2;Lae;None
2018-02-15T11:20:41.014000+00:00;45.437;6.346;2.3;Saint-Jean-de-Maurienne;earthquake
2018-02-15T11:16:35.313000+00:00;43.712;6.947;1.9;Grasse;quarry blast
2018-02-15T11:01:15.394000+00:00;47.403;6.418;2.3;Montbéliard;quarry blast
2018-02-15T10:57:08.207000+00:00;42.94;0.161;2.2;Tarbes;earthquake
2018-02-15T10:39:31.741000+00:00;48.424;9.618;2.0;Ehingen;quarry blast
2018-02-15T10:35:33.012000+00:00;44.611;2.068;2.5;Aurillac;quarry blast
2018-02-15T10:17:25.313000+00:00;35.769;82.224;4.7;Aksu;None
2018-02-15T09:37:59.385000+00:00;45.642;4.317;2.3;Saint-Just-Saint-Rambert;quarry blast
2018-02-15T09:20:18.058000+00:00;45.76;5.421;2.2;Belley;quarry blast
2018-02-15T08:54:22.006000+00:00;45.425;6.341;2.7;Saint-Jean-de-Maurienne;earthquake
2018-02-15T08:27:23.066000+00:00;-0.065;-17.954;5.0;Monrovia;None
2018-02-15T08:19:43.540000+00:00;47.129;7.199;2.1;Biel;quarry blast
2018-02-15T08:12:57.002000+00:00;44.266;7.455;1.7;Cuneo;quarry blast
2018-02-15T08:08:56.138000+00:00;-3.168;148.378;5.2;Lae;None
2018-02-15T07:35:17.384000+00:00;44.862;7.02;1.4;Pinerolo;earthquake
2018-02-15T06:14:49.668000+00:00;44.367;7.276;1.0;Cuneo;earthquake
2018-02-14T23:58:55.265000+00:00;34.928;87.013;4.7;Aral;None
2018-02-14T23:44:04.252000+00:00;44.09;6.983;1.3;Vence;snow avalanche
2018-02-14T23:38:39.016000+00:00;45.951;6.081;1.6;Annecy;snow avalanche
2018-02-14T22:01:32.226000+00:00;44.39;6.834;1.5;Borgo San Dalmazzo;earthquake
2018-02-14T20:19:29.045000+00:00;43.897;7.88;1.5;San Remo;earthquake
2018-02-14T16:53:43.028000+00:00;44.295;7.212;0.7;Cuneo;earthquake
2018-02-14T15:34:35.076000+00:00;45.545;7.813;1.4;Ivrea;earthquake
2018-02-14T15:34:06.928000+00:00;48.684;9.911;2.2;Geislingen an der Steige;quarry blast
2018-02-14T14:59:46.955000+00:00;44.46;6.688;0.9;Gap;earthquake
2018-02-14T12:29:13.367000+00:00;48.163;8.805;2.0;Balingen;quarry blast
2018-02-14T12:10:57.996000+00:00;48.222;8.803;2.2;Balingen;quarry blast
2018-02-14T11:33:59.887000+00:00;44.75;6.619;1.1;Gap;earthquake
2018-02-14T11:31:37.522000+00:00;47.645;7.276;1.6;Mulhouse;quarry blast
2018-02-14T11:27:27.170000+00:00;46.382;4.582;2.3;Mâcon;quarry blast
2018-02-14T11:14:15.285000+00:00;48.582;8.174;1.4;Bühl;quarry blast
2018-02-14T11:04:02.456000+00:00;48.424;6.908;1.5;Saint-Dié-des-Vosges;quarry blast
2018-02-14T10:59:01.688000+00:00;45.319;4.592;2.2;Saint-Chamond;quarry blast
2018-02-14T10:40:11.553000+00:00;48.387;5.143;2.5;Saint-Dizier;quarry blast
2018-02-14T10:15:57.716000+00:00;42.759;2.832;1.2;Perpignan;quarry blast
2018-02-14T09:29:07.708000+00:00;42.375;0.651;3.0;Monzón;earthquake
2018-02-14T09:23:52.767000+00:00;42.43;0.633;2.0;Monzón;earthquake
2018-02-14T09:12:07.029000+00:00;43.133;5.956;1.8;Toulon;quarry blast
2018-02-14T09:00:22.518000+00:00;42.589;2.703;1.5;Ceret;quarry blast
2018-02-14T08:53:43.238000+00:00;42.402;0.633;2.7;Monzón;earthquake
2018-02-14T08:26:54.089000+00:00;42.394;0.627;4.2;Monzón;earthquake
2018-02-14T07:43:07.003000+00:00;45.233;6.667;1.4;Saint-Jean-de-Maurienne;earthquake
